color;director_name;duration;gross;genres;movie_title;title_year;language;country;budget;imdb_score;actors;movie_facebook_likes
color;zack snyder;143;291021565.0;['Action', 'Adventure', 'Fantasy', 'Sci-Fi'];man of steel;2013;english;usa;225000000.0;7.2;Henry Cavill,Christopher Meloni,Harry Lennix;118000
color;sam mendes;143;304360277.0;['Action', 'Adventure', 'Thriller'];skyfall;2012;english;uk;200000000.0;7.8;Albert Finney,Helen McCrory,Rory Kinnear;80000
color;sam mendes;143;304360277.0;['Action', 'Adventure', 'Thriller'];skyfall;2012;english;uk;200000000.0;7.8;Albert Finney,Helen McCrory,Rory Kinnear;80000
color;baz luhrmann;143;144812796.0;['Drama', 'Romance'];the great gatsby;2013;english;australia;105000000.0;7.3;Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley;115000
color;baz luhrmann;143;144812796.0;['Drama', 'Romance'];the great gatsby;2013;english;australia;105000000.0;7.3;Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley;115000
color;steven spielberg;142;72306065.0;['Drama', 'History', 'Thriller'];bridge of spies;2015;english;usa;40000000.0;7.6;Tom Hanks,Mark Rylance,Amy Ryan;55000
color;marc webb;142;202853933.0;['Action', 'Adventure', 'Fantasy', 'Sci-Fi'];the amazing spider-man 2;2014;english;usa;200000000.0;6.7;Emma Stone,Andrew Garfield,B.J. Novak;41000
color;;142;407999255.0;['Adventure', 'Drama', 'Sci-Fi', 'Thriller'];the hunger games;2012;english;usa;78000000.0;7.3;Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds;140000
color;joss whedon;141;458991599.0;['Action', 'Adventure', 'Sci-Fi'];avengers: age of ultron;2015;english;usa;250000000.0;7.5;Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson;118000
color;justin chadwick;141;8324748.0;['Biography', 'Drama', 'History'];mandela: long walk to freedom;2013;english;uk;35000000.0;7.1;Terry Pheto,Fana Mokoena,Tony Kgoroge;13000
;oliver stone;141;47307550.0;['Crime', 'Drama', 'Thriller'];savages;2012;english;usa;45000000.0;6.5;Demián Bichir,Shea Whigham,Gary Stretch;28000
